id,created_at,telegram_chat_id,telegram_user_id,telegram_username,message_id,category,priority,intent,raw_text,suggested_reply
1,2026-04-17T04:28:07.852Z,165858836,165858836,nonoyessure,69,technical,medium,problem,/srart,"Здравствуйте!

Похоже, в вашей команде есть опечатка — команда ""/srart"" не распознаётся системой. Пожалуйста, уточните, какую именно команду вы хотели использовать, или попробуйте ввести ""/start"" для начала работы. Если проблема сохранится, сообщите, пожалуйста, в каком именно сервисе вы вводите команду.

Буду рад помочь!

📚 Источник: FAQ «Использование команд и их корректный ввод»"
2,2026-04-17T05:08:28.700Z,165858836,165858836,nonoyessure,44,account,low,question,Как зарегистрироваться на сайте?,"Здравствуйте!

Для регистрации на нашем сайте необходимо перейти на главную страницу и нажать кнопку «Регистрация» в правом верхнем углу. Затем заполните форму, указав email и придумав пароль, после чего подтвердите email по ссылке из письма. Если у вас возникнут сложности на каком-то этапе, пожалуйста, уточните, с каким именно моментом нужна помощь.

Буду рад помочь!

📚 Источник: FAQ «Как создать аккаунт»"
3,2026-04-17T05:09:07.505Z,165858836,165858836,nonoyessure,46,account,medium,question,"Забыл пароль от аккаунта, как восстановить?","Здравствуйте!

Для восстановления пароля на вашем аккаунте необходимо на странице входа нажать кнопку «Забыли пароль?», затем ввести email, указанный при регистрации. После этого вы получите письмо с ссылкой для сброса пароля — перейдите по ней и задайте новый пароль. Если письмо не приходит, проверьте папку «Спам» или сообщите, на какой адрес зарегистрирован аккаунт, чтобы я мог(ла) помочь проверить ситуацию.

Если возникнут дополнительные вопросы — с радостью помогу!

📚 Источник: FAQ «Как восстановить пароль»"
4,2026-04-17T05:09:27.434Z,165858836,165858836,nonoyessure,48,account,low,question,Можно ли поменять email в личном кабинете?,"Здравствуйте!

Изменение email в личном кабинете напрямую не предусмотрено по соображениям безопасности. Обычно для смены адреса электронной почты требуется обратиться в службу поддержки с подтверждением личности. Чтобы помочь вам точнее, подскажите, пожалуйста, с каким именно аккаунтом или услугой связан ваш запрос?

Если нужна помощь с этим процессом — обращайтесь, с радостью помогу!

📚 Источник: FAQ «Управление аккаунтом»"
5,2026-04-17T05:09:43.493Z,165858836,165858836,nonoyessure,50,delivery,medium,question,Где мой заказ? Как отследить?,"Здравствуйте!

Чтобы помочь вам отследить заказ и узнать его текущий статус, пожалуйста, сообщите номер заказа и дату оформления. После получения этих данных мы сможем проверить информацию и оперативно вернуться к вам с ответом. Если удобнее, укажите также контакт для связи.

Если у вас возникнут дополнительные вопросы — с радостью помогу!

📚 Источник: FAQ «Как отследить заказ» и сценарий обработки задержек доставки"
6,2026-04-17T05:09:53.614Z,165858836,165858836,nonoyessure,52,delivery,medium,question,Когда придёт заказ в Москву?,"Здравствуйте!

Сроки доставки в Москву обычно составляют 1-2 рабочих дня. Точную дату получения заказа вы можете увидеть в личном кабинете в разделе «Заказы» или в уведомлении с трек-номером, которое приходит на ваш email или телефон. Чтобы проверить статус вашего конкретного заказа, пожалуйста, сообщите его номер или email, на который он оформлен.

Если понадобится помощь — с радостью помогу!

📚 Источник: FAQ «Сколько стоит доставка»"
7,2026-04-17T05:10:10.704Z,165858836,165858836,nonoyessure,54,delivery,high,complaint,"Заказ должен был прийти неделю назад, но до сих пор нет!","Здравствуйте!

Приношу извинения за задержку с доставкой вашего заказа — понимаю, как это неудобно. Для того чтобы проверить текущий статус и помочь вам быстрее, пожалуйста, уточните номер вашего заказа или email, на который он оформлен. Как только получу данные, сразу проведу проверку и сообщу результаты. Спасибо за понимание и терпение!

📚 Источник: база знаний по доставке и обработке жалоб"
8,2026-04-17T05:10:21.617Z,165858836,165858836,nonoyessure,56,delivery,medium,question,Можно ли изменить адрес доставки после оформления?,"Здравствуйте!

Спасибо за ваш вопрос по изменению адреса доставки после оформления заказа. В настоящее время возможность менять адрес доставки зависит от этапа обработки заказа и технических возможностей системы. Чтобы уточнить, насколько срочно и на каком этапе (сразу после оформления или в день доставки) вам нужно внести изменения, пожалуйста, сообщите эти детали. Это поможет нам передать ваш запрос в соответствующую команду для рассмотрения.

Если у вас есть номер заказа, пожалуйста, укажите его — это ускорит проверку.

📚 Источник: база знаний «Предложение: менять адрес доставки после оформления»"
9,2026-04-17T05:10:33.597Z,165858836,165858836,nonoyessure,58,delivery,low,question,Где взять трек-номер для отслеживания?,"Здравствуйте!

Трек-номер для отслеживания заказа обычно приходит в уведомлении на вашу электронную почту или в SMS после отправки заказа. Также вы можете найти его в личном кабинете в разделе «Заказы». Если у вас нет трек-номера или вы не можете его найти, пожалуйста, сообщите номер вашего заказа — я проверю статус и помогу с информацией.

Если возникнут дополнительные вопросы — обращайтесь, с радостью помогу!

📚 Источник: FAQ «Как отследить заказ»"
10,2026-04-17T05:10:42.661Z,165858836,165858836,nonoyessure,60,payment,low,question,Какие карты вы принимаете? Можно ли криптовалютой?,"Здравствуйте!

Мы принимаем оплату банковскими картами Visa, Mastercard и МИР. Также возможна оплата криптовалютой, включая Bitcoin и USDT. Если планируете использовать криптовалюту, уточните, пожалуйста, какой именно способ оплаты вас интересует — я помогу с подробностями.

Если возникнут дополнительные вопросы, с радостью отвечу!

📚 Источник: FAQ «Какие способы оплаты доступны»"
11,2026-04-17T05:10:55.089Z,165858836,165858836,nonoyessure,62,return,medium,question,Как вернуть товар обратно?,"Здравствуйте!

Для оформления возврата товара, пожалуйста, сообщите номер вашего заказа и причину возврата. Если у вас есть фото или видео, подтверждающие проблему с товаром, это поможет ускорить процесс проверки. После получения этих данных я подскажу, какие дальнейшие шаги необходимо предпринять.

Если нужна дополнительная помощь — обращайтесь, с радостью помогу!

📚 Источник: Вопрос/проблема: как оформить возврат (mvp_seed)"
12,2026-04-17T05:11:02.966Z,165858836,165858836,nonoyessure,64,promo,medium,problem,"Ввожу промокод, а скидка не применяется. Что делать?","Здравствуйте!

Спасибо, что обратились по поводу промокода. Часто причина, по которой скидка не применяется, связана с условиями использования — например, минимальной суммой заказа или списком товаров, на которые действует промокод. Чтобы помочь точнее, пожалуйста, сообщите сам код и опишите, что именно происходит при вводе (отображается ошибка или просто не появляется скидка), а также сумму и состав товаров в корзине. После уточнения мы сможем проверить и подсказать решение.

Если возникнут дополнительные вопросы — с радостью помогу!

📚 Источник: Жалоба: промокод не работает (mvp_seed)"
13,2026-04-17T05:11:11.988Z,165858836,165858836,nonoyessure,66,payment,medium,question,Через сколько вернутся деньги после возврата?,"Здравствуйте!

После оформления возврата средства обычно возвращаются на исходный способ оплаты в течение 5-10 рабочих дней. Точный срок может зависеть от банка или платёжной системы. Чтобы помочь вам с оформлением возврата и уточнить детали, пожалуйста, сообщите номер вашего заказа и причину возврата. Если есть фото или видео проблемы — это ускорит проверку.

Если возникнут дополнительные вопросы, с радостью помогу!

📚 Источник: Политика возвратов"
14,2026-04-17T05:11:34.012Z,165858836,165858836,nonoyessure,68,delivery,high,complaint,Это безобразие! Заказ опоздал уже на 5 дней! Никто не отвечает на звонки!,"Здравствуйте!

Приносим искренние извинения за задержку доставки и неудобства с отсутствием ответа на звонки. Понимаем, как неприятно ждать заказ дольше обещанного и не получать обратной связи. Чтобы помочь быстрее, пожалуйста, сообщите номер вашего заказа — я проверю текущий статус и уточню информацию у службы доставки. Спасибо за понимание и терпение!

📚 Источник: Частые формулировки: доставка, поддержка"
15,2026-04-17T05:11:48.532Z,165858836,165858836,nonoyessure,70,delivery,high,complaint,"Получил заказ, товар разбит! Упаковка вся помятая!","Здравствуйте! Очень жаль, что товар пришёл повреждённым, и упаковка была помятая — приносим извинения за доставленные неудобства. Чтобы мы могли быстрее разобраться в ситуации, пожалуйста, сообщите номер вашего заказа и приложите фото повреждений. После проверки мы свяжемся с вами для обсуждения возможных вариантов решения. Если нужна помощь с отправкой фотографий, пожалуйста, дайте знать. Спасибо за понимание!

📚 Источник: Жалоба: товар повреждён/брак (mvp_seed)"
16,2026-04-17T05:11:54.164Z,165858836,165858836,nonoyessure,72,return,medium,question,"Заказывал размер L, а пришёл M. Как обменять?","Здравствуйте!

Приносим извинения за ошибку с размером заказа. Чтобы помочь с обменом, пожалуйста, сообщите номер вашего заказа и подтвердите, какой размер пришёл, а какой вы заказывали. После этого мы проверим наличие нужного размера и подскажем дальнейшие шаги по обмену.

Если есть возможность, приложите фото товара — это ускорит процесс.

Буду ждать вашу информацию!

📚 Источник: Жалоба: привезли не тот размер / нужна замена (mvp_seed)"
17,2026-04-17T05:12:03.989Z,165858836,165858836,nonoyessure,74,payment,high,complaint,С меня списали деньги дважды за один заказ! Верните деньги!,"Здравствуйте!

Приношу извинения за неудобства, связанные с двойным списанием средств. Чтобы помочь вам разобраться и проверить ситуацию, пожалуйста, уточните номер заказа или дату и сумму списания. После получения этих данных мы оперативно проведём проверку и свяжемся с вами для дальнейших действий.

Если у вас есть дополнительные вопросы — с радостью помогу!

📚 Источник: Политика работы с платежами и возвратами"
